name,content,score,at,appversion
BW WOLF CLANZ,i dnt see me winning real money as it says,4,2023-08-21 00:49:42,1.8.0
Darcomon Gaming,good,5,2023-08-21 00:47:11,1.8.0
Ellen Harrity,love this game just confused why my sister who also plays gets better deals on purchases for example the golf deal she can buy all for 599 mine is 699 and they're offering her more dice too doesn't seem fair,5,2023-08-21 00:46:47,1.8.0
Leo Deleon,very addictive and competitive 🤩🥰,5,2023-08-21 00:46:24,1.8.0
Shaun Saunders,Love it,5,2023-08-21 00:45:52,1.8.0
Tristen Valentine,I love monopoly go because I love how we get to play w friends and family and knock their stuff down,5,2023-08-21 00:44:34,1.8.0
hns enterprise,good game...enjoy,5,2023-08-21 00:43:41,
Jonathan Heller,Mononucleosis Good great fantastic,5,2023-08-21 00:42:44,1.7.6
Praise Chege,Good!,4,2023-08-21 00:41:35,1.8.0
Minerva B (Mine),It's definitely fun,5,2023-08-21 00:40:35,1.8.0
Richard Spicer,Brilliant and entertaining game,5,2023-08-21 00:39:36,1.8.0
Malik Lambert,Great game,4,2023-08-21 00:39:06,1.8.0
cathy palmieri,Different from what I play but I like it,5,2023-08-21 00:38:00,1.8.0
Roosevelt Dedmond,Love this game it's a new spin on one of my favorite childhood games great job,5,2023-08-21 00:37:22,1.8.0
Nadine,👌,5,2023-08-21 00:36:55,1.8.0
Michael King,Decent time waster,3,2023-08-21 00:35:49,1.8.0
Carrie S,Fun to play! Not super time consuming either so it makes it enjoyable when I have a few minutes.,5,2023-08-21 00:34:53,1.8.0
Kara Gyal,They are all doing well 🤢🤢🤢💩💩💩🧗👽 🖕🖕🖕🖕,5,2023-08-21 00:33:03,1.8.0
Lyric Mikel-Lynn,Great,3,2023-08-21 00:32:43,1.8.0
Ronald Davis,Awesome time passer,5,2023-08-21 00:32:13,
Chantelle Meyer,👍,5,2023-08-21 00:31:26,1.8.0
Paulla Fetzek,"Game is fun for... maybe... 50 levels. Then it's frustrating. Good luck advancing without buying one of their packages - which of course aren't inexpensive. The sticker concept is ridiculous. What's the point in having more than one Gold if you can't trade? And completing the albums? Extremely difficult to do - especially the ones that offer great rewards. Finally, only a 50 dice reward after each level completed? Not worth the time or money for extended playing.",2,2023-08-21 00:31:23,1.8.0
Sea S.,Love it,5,2023-08-21 00:31:04,1.8.0
Brendan Curtis,Great game to play with family and friends,5,2023-08-21 00:28:54,1.8.0
Jesusito R Vinas Jr.,Addictive,5,2023-08-21 00:27:08,1.8.0
Mahendra Walam,Good Game,5,2023-08-21 00:25:26,1.8.0
Sharicka Sharp,Algorithm should catch on to players receiving duplicate stickers!!,3,2023-08-21 00:24:08,
M Croteau,I'm a Billionaire!,5,2023-08-21 00:21:40,1.8.0
Ryanna Mccombs,So fun and addicting,5,2023-08-21 00:20:42,1.8.0
John Smith,Fun,5,2023-08-21 00:20:14,1.8.0
Kim Oakes,I enjoy playing this game . It relaxes me .,5,2023-08-21 00:19:58,1.8.0
Shanice Perkins,Very calming game to play,5,2023-08-21 00:19:43,1.8.0
Michelle Bryan,"It's enjoyable, but takes a long time to recover rolls.",3,2023-08-21 00:18:59,1.8.0
Daniel Brown,This is so fun,5,2023-08-21 00:18:42,1.8.0
Terri Johnson,Love this game,5,2023-08-21 00:18:13,1.8.0
X-LAST FF,Gifting 50 000 monopoly go rolls I have plenty of extras!!! 😍😍 Get it here : bit.ly/monopolygoo,5,2023-08-21 00:18:01,
Niki Salisbury,Fun,4,2023-08-21 00:17:42,1.8.0
Vivian Brown,There is way to many pop-ups to buy packages every time you start playing the game. Then on they have more packages to buy on the left side of the screen. It is so annoying that I am going to stop playing it.,1,2023-08-21 00:16:07,1.8.0
Steve Boles,Very addicting game,5,2023-08-21 00:15:23,1.8.0
Ronda Prettyman,The game is extremely frustrating. As you level up your costs get higher but your rewards for leveling up do not. The stickers everyone is trying to collect are too hard to get. You play for weeks get up to higher levels but are still only getting 1 and 2 star cards. I know it is a ploy to get you to buy more dice or sticker packs from them but it is ridiculous. People are selling the most needed stickers on Ebay or scamming people to get what they need. DO BETTER SCOPELY!!!!!!,1,2023-08-21 00:13:40,1.8.0
Hossain Sain,"jqp,",1,2023-08-21 00:13:02,1.8.0
Kathy Small,Best game ever,5,2023-08-21 00:12:44,1.8.0
Tristan Cadwallader,GREAT FOR LONG CAR RIDES WITH ANNOYING SISTERS,5,2023-08-21 00:12:19,1.8.0
Minecraft Account,I love this game ngl,5,2023-08-21 00:11:19,
Richard Doyle,I Love It ❤️,5,2023-08-21 00:10:06,1.8.0
Ashley Castillo,It's like coin master but better,5,2023-08-21 00:07:29,1.8.0
Nandy Dahlberg,This game is very cool now I don't need the board game,5,2023-08-21 00:05:18,1.8.0
June Pikulski,Would like to use Google play points!,3,2023-08-21 00:03:37,1.8.0
Markus Cameron,"I have always loved Monopoly, but I really like being able to build houses without having the full set of properties!!",5,2023-08-21 00:02:52,1.8.0
Rafilah Qistina,Enjoyyy,5,2023-08-21 00:02:38,1.8.0
Julio Diaz,Amazing,5,2023-08-21 00:01:39,1.8.0
Pamela K.,Lots of fun!,5,2023-08-21 00:01:32,1.8.0
David Adeaga,It's been fun so far. Jus started tho so I hope I get to get rewarded real soon. Much more interesting than I thought 🥂,4,2023-08-20 23:59:35,1.8.0
rita alexander,One of my top 4 games,5,2023-08-20 23:59:01,1.8.0
Alicia Kelly,I love this game but I see that when my friends hit my link to join monopoly my friends bar doesn't move like it supposed to. I haven't received my dice for my friends joining and adding me as a friend. Too many duplicates of the same cards in the packs and a lot of new cards are not in the higher packs after you make a purchase. I want to finish my cards but it's impossible.Please fix this issue,5,2023-08-20 23:57:46,1.8.0
cedric “Cityboy39” Looney,Good play time,3,2023-08-20 23:56:46,1.8.0
Elaine Clarke,Good,5,2023-08-20 23:54:59,1.8.0
Lupe Alva,Fun,5,2023-08-20 23:54:41,1.8.0
Kathy Moore,I absolutely love this game. It's fun and enjoyable. I recommend this game,5,2023-08-20 23:53:03,1.8.0
Ruqaya Alahmed,After the last update the game keep canceling my wins and prizes. It's becoming frustrating really... (Update).. i am deleting this game .. you keep stealing my winings and tokens.,1,2023-08-20 23:52:38,1.8.0
idris mohd,Its fun on digital...unleash our memories while kids...,5,2023-08-20 23:52:29,1.8.0
CHANDRA POLITE-PETRY,Wish I could trade with friends and not have to go to FB.,4,2023-08-20 23:52:04,
Mieke Feyt,It's amazing I love but why does my landmarks get destroyed 😫 😢 😔 😞 😩,5,2023-08-20 23:50:48,1.8.0
Ronnie Dunmore,Good game,5,2023-08-20 23:49:27,1.8.0
T Rothman,"Unless you're willing to dump A LOT of money into this game, it becomes ""Not fun"" real fast.",1,2023-08-20 23:48:47,1.8.0
Michael Emans,Pay me my rent,5,2023-08-20 23:47:45,1.8.0
Lakeshia Scott,I love this game . I have my entire family hooked . A home run,5,2023-08-20 23:47:11,1.8.0
Jaxxz Bytes,"Overall game is nice to play, but daily trade system is kinda makes us suffer. 5 cards a day is too low.. Please consider to make 10 at least a day. And second, golden card should be tradable too.",5,2023-08-20 23:43:39,
Zulhaikal Kharib,Awesome,5,2023-08-20 23:43:19,1.8.0
Amanda Murguia,"it's so fun, I'm addicted!",5,2023-08-20 23:43:09,1.8.0
Caitlin stamper,Would recommend for you to play it,5,2023-08-20 23:42:05,1.8.0
Theresa Laboy,"I been playing for a few months now faithfully and it's now frozen on a heist and I can't do anything. I'm in a loop everytime I close the app down it sends me right back in the loop. I tried everything from force stop, shutting my phone down, shutting the app down, uninstalling the app and still nothing has changed I just want to play!!!!",1,2023-08-20 23:41:52,1.8.0
Emily Crawford,"I love playing this. My sister actually got me to playing it. I didn't think I was going to like it. Boy, was I wrong better than normal Monopoly.",5,2023-08-20 23:41:47,
Robert Anglea,Awesome,5,2023-08-20 23:41:19,1.8.0
Squiggly Squishers,This is a great game but I don't understand why when you land on the go to jail tile you just stay on that tile and don't actual go to the other corner of the board to the in jail tile.,5,2023-08-20 23:40:49,1.8.0
Leo Morillio,I love it,5,2023-08-20 23:40:28,1.8.0
Deanna Burge,So much 😊,5,2023-08-20 23:40:16,1.8.0
Dave Jones,Fun game,4,2023-08-20 23:38:53,1.8.0
KEA77 MOFA,Slow started,1,2023-08-20 23:38:14,
Christina Archer,Great,5,2023-08-20 23:37:06,1.8.0
Joachim Morrissett,Fun,4,2023-08-20 23:36:51,1.8.0
Mason Johson,It's just good,4,2023-08-20 23:34:21,1.8.0
Kirstin Miller,So much fun!,5,2023-08-20 23:34:04,1.8.0
Carl Schoolcraft,It's fun so far can't wait to see what it has in store,4,2023-08-20 23:32:26,1.8.0
Nathan Peachey,So much fun to play with people online I would so recommend this game to anyone who is looking for a fun game please do download,5,2023-08-20 23:32:18,1.8.0
LordAmong Men,Just need more dice but love it,5,2023-08-20 23:31:55,1.8.0
Paul Nosach,"With the exception of waiting for the ""Get Out of jail"" rolling the dice, it's cool! No issues.",5,2023-08-20 23:31:05,1.7.7
stefanus tujok,🔥❤️,5,2023-08-20 23:30:38,1.8.0
kapitein pluto,Absolutely not like monopoly,1,2023-08-20 23:27:38,
Brent Greening,it's entertaining,5,2023-08-20 23:27:03,1.8.0
layla taliep,So irritated by this game. Never downloading it again. All you guys want is money. Waste of time,1,2023-08-20 23:26:44,1.5.0
Raven Barber,Fun,5,2023-08-20 23:25:08,1.8.0
IEsha Tools,Fun,5,2023-08-20 23:24:49,1.8.0
GeoNat Sedgewick,It's fun,5,2023-08-20 23:24:19,1.8.0
Kevin Debrowsky,There needs to be a better chance of completing stickers. There is a lot of duplicates. Also it needs to be where you can trade a gold or 2. Even if it's once the whole time u are playing. I have duplicates of gold cards and can only trade them in for safes containing cards I already have,3,2023-08-20 23:23:21,1.8.0
Jenn Egnor,So fun!,5,2023-08-20 23:21:45,1.8.0
Toby Serre,It's a good fun easy game,5,2023-08-20 23:20:45,1.8.0
sunny teoh kar seong,good game,5,2023-08-20 23:20:08,1.8.0
Brandi Black,Lots of fun,5,2023-08-20 23:18:23,1.8.0
Emily Klenzing,Is the really good game to play it pays out,5,2023-08-20 23:18:15,1.8.0
Christopher Mccrea,Games fun so far. Loving the visuals and the UX is pretty inviting.,4,2023-08-20 23:17:54,1.8.0
msjoy,Fun playing against friends,5,2023-08-20 23:17:26,1.8.0
Sandra Mccarty,Really fun and very entertaining game one of my favorites,5,2023-08-20 23:16:35,1.8.0
emir aisy,ok,5,2023-08-20 23:14:56,1.8.0
Larry Hamm II,The game isn't a bad time killer. But it is 100% pay to win if you want certain things and sometimes paying won't get you there. Don't waste your hard earned money on a game like this.,1,2023-08-20 23:14:39,1.8.0
Nicole Young,This a fun game for the fam to play.,5,2023-08-20 23:12:28,1.8.0
Diana Rodriguez,"Best game ever, I'm invio, everyone play &make 🤑🤑🤑🤑🤑🤑💰💰💰💰💰💰💰💰💰💰🤑🤑🤑🤑🤑🤑 money, money, money's, 🤑🤑🤑🤑🤑🤑🤑🤑🤑🤑🤑🤑🤑🤑💰💰💰💰💰🤑🤑🤑 play,",5,2023-08-20 23:12:20,1.8.0
Wendy Bookout,I think the sticker system sucks you can get 10 are more of some cards and never get the others and you make it to hard to have enough dice when you can't get the cards anyways but it is fun til it ain't,2,2023-08-20 23:12:04,1.8.0
John Smith,Horrible,1,2023-08-20 23:10:43,
Delores Green,Love this game but hate how it freeze continuously,5,2023-08-20 23:10:19,1.8.0
hayley turner,This game is like the real monopoly game and it is so much fun that you can be by yourself and play with your friends,5,2023-08-20 23:10:12,
Layla Guzman,So easy and fun,5,2023-08-20 23:10:03,1.8.0
Hamlina Zubir Hamlen,I need more free dice😆,5,2023-08-20 23:08:35,1.8.0
Shady Phoenix,"It's addicting, real addicting. I got introduced to it by my step-dad. Now. I'm playing",5,2023-08-20 23:07:15,1.8.0
j D (Jay),Great,5,2023-08-20 23:06:58,1.8.0
Asgari Khan,Wonderful,5,2023-08-20 23:06:45,1.8.0
Mark Gideon Paderes,Ok,5,2023-08-20 23:06:28,1.8.0
Anandx Saypet85,Good,5,2023-08-20 23:06:07,1.8.0
Rosemary Magnotta,Game is addicting,4,2023-08-20 23:04:21,1.8.0
Teresa Wilson,"I love the game. The app is the issue. It keeps getting stuck, my board turns black, I can't collect my stickers or press on the items at the bottom like album, win, friends",2,2023-08-20 23:04:19,1.8.0
Karen Cutler,"Cool game, fun to play",5,2023-08-20 23:03:55,1.8.0
ELZANI Wiese,Love this game ay ken play with my family so I'm happy,5,2023-08-20 23:03:51,1.8.0
John Badders,Absolutely love this game so far. A great twist to playing monopoly. RECOMMENDED!!!!!!!!,4,2023-08-20 23:03:48,1.8.0
Q. G,"I've put so much money into purchasing dice, completed my cards. Just to wake up to 40 Billion dollars gone from a stranger that I can't block. Uninstalling. Not worth it. Rip-off.",1,2023-08-20 23:03:42,1.8.0
Vanessa Martina,Great game.. 1 thing they have to stop giving duplicates on the Gold Cards.. can't not trade them..,5,2023-08-20 23:03:31,1.8.0
Jordan Daniels,It very fun to play,5,2023-08-20 23:02:45,1.8.0
laline de klerk,Love the game. Can play for hours at a time. Just wish the view was better of the board,4,2023-08-20 23:01:11,1.8.0
Sue Breaux,Fun fun.,5,2023-08-20 23:00:25,1.8.0
NBAGANG _4KT,It's decent. Definitely different 🔥💯,5,2023-08-20 22:59:49,1.8.0
Damon Gilmore,Better than the rest,5,2023-08-20 22:58:42,1.8.0
Spencer Bradshaw,Great Job,5,2023-08-20 22:58:27,1.8.0
ENC,"10+ Pop-ups are so annoying!!! This game is mildly entertaining, but not much like actual Monopoly, which is disappointing. The 10+ Pop-ups that happen after opening the app are frustrating and beyond annoying & seriously make me delete this game. 🤬 Find a better way, please!! See the plethora of other games that don't do this for inspiration! Animation throwdown is one! Because this feature alone makes this game suck.",2,2023-08-20 22:57:44,1.8.0
Allyssa Wood,So much fun,5,2023-08-20 22:57:25,1.8.0
Nathan Elam,Fun game,5,2023-08-20 22:56:38,1.8.0
Habib Al Asyaari,It just normal game but play so best,4,2023-08-20 22:55:48,1.8.0
Kanni Bee,Fun,5,2023-08-20 22:55:17,1.8.0
Kok Siee Peh,Feel likes going back yong time,5,2023-08-20 22:54:04,1.8.0
richard glenn,Loving it,5,2023-08-20 22:53:39,1.8.0
Next Chapter,Not all facebook friend showing up.also landmark disappear even have landmark..,1,2023-08-20 22:52:59,1.8.0
Demi Hartley,Funny entertaining,5,2023-08-20 22:51:49,1.8.0
arry Yati,I just wish we can change our profile pic and name,4,2023-08-20 22:51:04,1.8.0
Carlos Ortiz,Great,5,2023-08-20 22:50:19,1.8.0
Joan Spain,Great!!,5,2023-08-20 22:49:19,1.8.0
Pamela Young,"FUN,FUN, FUN AND MORE FUN",5,2023-08-20 22:47:50,1.8.0
Princess Anne,"My friend and i swap some cards and he didn't received my 5 star card, this is unacceptable. You should do something about it.",1,2023-08-20 22:45:25,
ALBERT GONZALES,Awrsome,5,2023-08-20 22:44:30,1.8.0
Tim Kokesh Sr,"Getting the same cards. Just need gold cards. Haven't gotten a gold card I need in 7 weeks. The game was fun, but now it's an irritating drag.",2,2023-08-20 22:44:13,1.8.0
Danial Afwan,"Fun to play, but to many duplicate and hard to get a new or gold sticker's",5,2023-08-20 22:43:33,1.8.0
Tim Bailey,Awesome family and friend game,5,2023-08-20 22:42:17,1.8.0
Lydia Lenang,at first this game is very fun to play..but after a while it becomes very annoying to play it..the cards are very hard to get and always get the same card..when you roll big dice you will get stuck near the non-target place..and I've give up to playing this game..and it's better to uninstall...I asked my friends they also had the same problem.. actually this game also make you stress..and one more don't spend your money too much at this game..,1,2023-08-20 22:42:05,1.8.0
Ridwan syah,👍,5,2023-08-20 22:41:54,1.8.0
Ian Meizius,When the ad for this game comes up and you try to close the window it automatically downloads itself on to your device. Ban this action immediately!,1,2023-08-20 22:39:25,
Sam Higgs,"Great fun, simple but addictive. Love it",5,2023-08-20 22:39:06,1.8.0
Matt Adkins,"In traditional Scopely fashion, the game is filled with microtransactions and a rigged algorithm fixed within the dice rolls. Notice how it seems to always thread the needle on things you may need, then gives you 5 pop-ups about microtransactions once you run out of rolls. You could be a step away from what you need, giving you that incentive to buy from them. It's a little fun but a lot of it is ruined due to this. Sometimes, you don't even get houses from your upgraded properties. It's sus.",2,2023-08-20 22:37:51,1.8.0
Vishal Kumar Asija,Funny to play,4,2023-08-20 22:37:01,1.8.0
eric soto,Great game,5,2023-08-20 22:36:27,1.8.0
Lisa Mezher,Entertaining,4,2023-08-20 22:34:31,1.8.0
Calvin Habernigg,Love it,5,2023-08-20 22:34:27,1.8.0
Vronica Lemba,Must try this game really fun,5,2023-08-20 22:34:07,1.8.0
Rayan hasan,This game is fun,4,2023-08-20 22:34:01,1.8.0
Annette Marshall,"This game sucks. We get the big pack for the stickers and not get new cards or when it says we have a mega bank heist it doesn't give us the heist or when it says you need to roll 4 times to get the daily prize it doesn't register or the fact the board only goes up to 124 and I'm on 108, so what is going to happen. I have been playing this game for over a month and you don't give us a chance to win. I'm going to delete this dumb game.",1,2023-08-20 22:33:22,1.8.0
David Zimmer,I love this game,5,2023-08-20 22:31:44,1.8.0
Emmarenthia Greeff,Excellent,5,2023-08-20 22:31:38,1.8.0
Michael Howard,Good time killer,5,2023-08-20 22:31:33,1.8.0
dal,"3🌟 because the game was fun but not perfect enough to give 4/5🌟. Stickers trades should atleast be limited to 8-10, golden sticker should be tradable, event goal should atleast be achievable in comparison with the average dice rolls the average number of players can get everyday or maybe we rolls can be purchased using ingame money(not real money). Should maybe have a chat/message feature with friends. Maybe have a fast forward button too! game takes a little too much time.",3,2023-08-20 22:30:59,1.8.0
Aaron r,Love ❤️ it,5,2023-08-20 22:30:57,1.8.0
Dillon Pickering,YOU SHOULD NOT BE ABLE TO GET EXTRAS OF A CARD YOU CANT TRADE THAT IS ALL!!!!!,3,2023-08-20 22:30:23,1.8.0
Wala Mema lang,give a card that we don't need the fuq wrong witchu?,1,2023-08-20 22:30:05,1.8.0
Tawala Lee,"Love it, best game ever",5,2023-08-20 22:29:39,
Siqnastyx99 siq,Great game,5,2023-08-20 22:29:22,1.8.0
Maria Gonzalez,It's a great game for me there's no glitches and I would get things real fast by rolling the dice it's a really easy game for me so 5 stars,5,2023-08-20 22:28:58,1.8.0
Nick Abbott,Addicting game. It's fun to play.,5,2023-08-20 22:27:52,1.8.0
Rissely Vargas,It's fun to play and it's really entertaining,5,2023-08-20 22:27:21,1.8.0
Christopher Fitzgerald,Fun to play and kill time,5,2023-08-20 22:25:44,1.8.0
David Duke,Very entertaining,4,2023-08-20 22:25:15,1.8.0
Lawrence Camden,This game is so addictive way better than coinmaster thank-you Monopoly go,5,2023-08-20 22:25:13,
Deborah Williams,"I love playing this game, but it is very addictive and you want to get furthur.find yourself buying dice to move up.play with caution.",4,2023-08-20 22:25:01,1.8.0
Jessie Hockensmith,Fun to attack friends!,4,2023-08-20 22:24:37,1.8.0
Sem Boy,"The longer you play the game, it getting worst n worst. Too many duplicate sticker, even gold sticker get more than 4 or 5 but can't trade. I dont know how to explain it more detail. I just play the game a week and get bored. Wasting time waiting and get the same card up to almost 1k card duplicate",1,2023-08-20 22:24:19,1.8.0
Tristan Lee,Very good game I love it!,4,2023-08-20 22:23:54,1.8.0
BigJim “BigJim”,Cool game,5,2023-08-20 22:23:48,1.8.0
Rob Allen,great!!!,5,2023-08-20 22:23:01,1.8.0
Eric Sheff,Dope. This game is brilliantly fun. Great job.,5,2023-08-20 22:22:51,1.8.0
Ruby Hill,Great Game,5,2023-08-20 22:20:29,1.8.0
Steven sanders,Huge cash grab game. The game asks for money every turn.,3,2023-08-20 22:20:24,1.8.0
jayson hanson,Fun,5,2023-08-20 22:20:04,1.8.0
Fiona ireen Tsen,keep getting the same stickers over N over N over again,3,2023-08-20 22:19:17,1.8.0
Jackielee Roberts,Addicting,4,2023-08-20 22:18:11,1.8.0
marta sousa,Make it easier to get the cards to finish albums and I'll give it 5 stars,4,2023-08-20 22:16:09,1.8.0
Brandi Brantley,"Nothing is wrong! Not that many ads, no glitches, it's amazing it's really easy and fun to play",5,2023-08-20 22:12:30,1.8.0
Kenisha Pearce,Very fun,5,2023-08-20 22:12:18,1.8.0
David Scott,All I can say about this...IT'S FUN AND EXTREMELY ADDICTIVE..LOL,5,2023-08-20 22:10:00,1.8.0
Robert Morris,Nice little destraction in the day.,5,2023-08-20 22:09:11,1.8.0
Richard Radcliffe,Best game ever,5,2023-08-20 22:07:50,1.8.0
Aalayah Gist,I like it it fun,5,2023-08-20 22:04:53,1.8.0
alia nabila,enjoyed it,5,2023-08-20 22:04:50,1.8.0
George Wright,Awesome,5,2023-08-20 22:04:40,1.8.0
Manny Cruz,Kinda boring,3,2023-08-20 22:02:45,1.8.0
Kaki Mabuk,Wow,5,2023-08-20 22:02:42,1.8.0
Sondra Holton,So addicting,5,2023-08-20 22:02:15,1.8.0
Gabriela,I love this game!!!,5,2023-08-20 22:01:42,1.8.0
Norhamsiah Norzaini,"Hi, can assist how to retrieve my account back",3,2023-08-20 22:01:06,1.8.0
Raidy kiun,Very good game . Really like it,5,2023-08-20 22:01:06,1.8.0
Jay Williams,The game is wigged. I rolled the same squares 3 times in a row,5,2023-08-20 22:01:04,1.8.0
A Google user,Fun game. ♥️,5,2023-08-20 22:00:01,1.8.0
