name,content,score,at,appversion
Walter Gordon,Not much to hate except the ridiculous amount of duplicate stickers.,3,2023-08-21 04:07:24,1.8.0
James,Fun and great minds relaxed 😌,5,2023-08-21 04:04:18,1.8.0
Tater,So boring,1,2023-08-21 04:02:10,1.8.0
Brooke Barwick,This game is just so FUN!!!!,5,2023-08-21 04:02:06,1.8.0
Cage wilber,Fun for about a week but no real replay value,3,2023-08-21 04:02:02,1.8.0
Tammy Seabeck,"I love it , very addicting awesome",5,2023-08-21 04:01:43,1.8.0
Deanna “Deanna” C,Fun game!,5,2023-08-21 03:59:00,1.8.0
Tina Williams,Pretty fun!,4,2023-08-21 03:58:42,1.8.0
Broderick Cobbs,Best ever,5,2023-08-21 03:57:33,1.8.0
Stephanie Sweeting,I love this game especially being able to play with my friends. We're all competitive and this is the perfect game for us!,5,2023-08-21 03:55:06,1.8.0
Tyruss Nichols,This game fun,5,2023-08-21 03:54:45,1.8.0
ellis beamon,Can there be an update where u can decide to gift a sticker or actually initiate a trade ( basically both users must send the sticker in order to receive) so you won't be scammed by people who just take stickers without sending.,4,2023-08-21 03:54:04,1.8.0
Safwan Lolz,"Can you do better drop rate for missing sticker? Many ppl complaining always get same golden 5star sticker even tough opening purple pack, why dont at least give normal 5star that something EXCHANGABLE??",1,2023-08-21 03:53:31,1.8.0
Patrick Ennis,Nice app,5,2023-08-21 03:51:34,1.8.0
Brooke Butler,I love this game I could play it for hours!,5,2023-08-21 03:50:51,1.8.0
Carlos Miguel San Juan,TRASH,1,2023-08-21 03:50:47,1.8.0
Paula Jackson-Lee,Non stop addition 💜🙌,5,2023-08-21 03:50:29,1.8.0
Stephanie Jay,The missing star of because there to much that just pops up when you open the game(game packs) and the fact that there's to many duplicates that drop haven't had a new card in a long time,4,2023-08-21 03:49:55,1.8.0
Kim pierce kimble,I love this game,5,2023-08-21 03:47:43,1.8.0
Kim Brown,Love this game! I usually do not play games but this one is worth it. ❤️♈❤️,5,2023-08-21 03:46:52,1.8.0
Petri Y. Brooks,"I love this game, but I'm so tired of getting the same old stickers over and over again. I feel like the game doesn't want you to win the grand prize. What's the point in giving us stickers if you're just going to keep giving out the sames stickers. I need to collect 8 more stickers then I'll be able to receive the grand prize, but I get one new sticker every blue moon. I tried to trade with my friends, but we all need the same stickers. Why are you all making this so hard? Play fair!",1,2023-08-21 03:46:43,1.8.0
Melissa Krause,Very Fun Game!,5,2023-08-21 03:45:54,
Charlie Gibbons,Very much like some other games but monopoly is a classic bord game,5,2023-08-21 03:43:24,1.8.0
William Eland,Awesome 😎👍,5,2023-08-21 03:42:40,1.8.0
Focused-on Life!,Very fun! 🥰😍😍😍,5,2023-08-21 03:41:50,1.8.0
Love Hare,Love it,5,2023-08-21 03:37:14,1.8.0
Reece Pommier,I love it,5,2023-08-21 03:36:14,
Krista Borrero,Great Game Yay,5,2023-08-21 03:35:29,1.8.0
sajid rashid,Excellent game,5,2023-08-21 03:35:08,1.8.0
Matthew Vega,"Great game. One question, is it a glitch that one person is constantly attacking me a number of times and only minutes apart each time?",4,2023-08-21 03:25:40,1.8.0
Linda Herrington,Love it,5,2023-08-21 03:25:19,1.8.0
Kaylynn McDaniel,Amazing l,5,2023-08-21 03:21:43,1.8.0
Shea'lynn,I love this game I got me and my whole family playing we love to steal all of each others money and house it's really fun!,5,2023-08-21 03:21:27,1.8.0
jason smith,Great game,5,2023-08-21 03:20:56,1.8.0
Donna Poley,Cool game,5,2023-08-21 03:20:54,1.8.0
Annette Christine Archuleta,𝑻𝒉𝒊𝒔 𝒈𝒂𝒎𝒆 𝒊𝒔 𝒇𝒖𝒏 𝒆𝒔𝒑𝒆𝒄𝒊𝒂𝒍𝒍𝒚 𝒘𝒉𝒆𝒏 𝒊 𝒈𝒆𝒕 𝒓𝒆𝒘𝒂𝒓𝒅𝒆𝒅 𝒇𝒐𝒓 𝒊𝒕 ....𝑻𝒉𝒂𝒏𝒌𝒔,5,2023-08-21 03:20:26,1.8.0
John Brunet (The MayHeM),Good game,4,2023-08-21 03:19:25,1.8.0
Adnan Hamid,Nice game,5,2023-08-21 03:18:50,1.8.0
Richard Wakefield,I love this game,5,2023-08-21 03:18:07,1.8.0
Jamal Lee,Love it,5,2023-08-21 03:16:48,1.8.0
Flynn Wallace,Lots of help if you need it,5,2023-08-21 03:16:48,1.8.0
Lisa Roland,I love playing this game it's so much fun,5,2023-08-21 03:16:03,1.8.0
Katelynn Forsyth,Addictive!,5,2023-08-21 03:15:53,1.8.0
Kelly Daniel,Super fun!!,5,2023-08-21 03:15:26,1.8.0
Onibudo Samuel,Wonderful App,5,2023-08-21 03:13:39,1.8.0
One of People Of Georgia,Love to mash other people's properties,5,2023-08-21 03:13:37,1.8.0
Chris Martinez,Great for killing time!,5,2023-08-21 03:13:33,1.8.0
Duane Kellogg,Good,4,2023-08-21 03:13:11,1.8.0
Payton Squad Adams,I love how it operates!!,5,2023-08-21 03:12:32,1.8.0
Pooh Pate,Best game ever,5,2023-08-21 03:11:55,1.8.0
Terry “Tez” Worsley,😀👍,5,2023-08-21 03:10:10,1.8.0
Kanito Delgado,"Pretty fun . But what it has going on with the cards, trading, etc it has to change to many repeats of cards.",5,2023-08-21 03:10:09,1.8.0
P Flagg,Fun and addictive!!,5,2023-08-21 03:10:01,1.8.0
John Godsey,"Awesome, my wife and I 💘 it",5,2023-08-21 03:09:50,1.8.0
Arius,Enjoying myself so far.,5,2023-08-21 03:07:22,1.8.0
Sophia Joya,It's fun,5,2023-08-21 03:07:12,1.8.0
Mike Watson,AWESOME GAME,5,2023-08-21 03:07:03,1.8.0
Bruce Wayne,"Its very fun. ANYONE THAT HASNT DOWNLOADED THIS GAME, TRY IT and I like the bright colors and the strategy and how abstract it is",5,2023-08-21 03:06:01,1.8.0
Renee,Fun game,5,2023-08-21 03:05:17,1.8.0
Wilson Gutierrez,Fun,5,2023-08-21 03:05:03,1.8.0
Laurie Cunningham,This game is so much fun. I love it!,5,2023-08-21 03:03:38,1.8.0
Arthur Warmoes,Loving it. Especially the bank heist. Awesome game,5,2023-08-21 03:03:34,1.8.0
glocknock,Great game,5,2023-08-21 03:03:28,1.7.0
David Rouchka,Cool so far,4,2023-08-21 03:02:45,1.8.0
Robert Matherly,Very fun and entertaining game !!,5,2023-08-21 03:01:38,1.8.0
Emmanuel Oromoni,This game is really amazing,5,2023-08-21 03:00:28,1.8.0
N.A Lanuzo,Nice,5,2023-08-21 03:00:11,1.8.0
Abdul Hadi,Ohsemmmmm,5,2023-08-21 02:58:24,1.8.0
rick sanchez,everytime i land in jail the app freezez ive lost multiple times to get doubles and more rolls prob over 20 chances i have to restart app then when i go back in it wont let me finish my chances,2,2023-08-21 02:57:44,1.8.0
Anthony Richard Ramos,"Nice way to kill, a lil' time! 😉",5,2023-08-21 02:51:21,1.8.0
Rhonda Ashbaugh,Love the game but frustrating when out of dice and can't get new stickers.,4,2023-08-21 02:50:31,1.8.0
Asa Alexander,This is just great,5,2023-08-21 02:49:18,1.8.0
Chante Snyman,Fun,5,2023-08-21 02:49:16,1.8.0
Laura Hickey,Fun game,5,2023-08-21 02:46:33,1.8.0
Olivia Olvey,Absolutely love it. Its the only game on my phone and only game I play!,5,2023-08-21 02:43:52,1.8.0
Mary Annette Zimmerman,It is so much fun.. play with family and friends near and far.. have loved playing game for many years on the board game but it is fun here also.,5,2023-08-21 02:40:54,1.8.0
Pamela Spears-Bradford,My friend who has been playing this game sent me and invite from her Iphone. The invite doesn't work on an Android phone. Is there an another way my friend and I can link? This why I gave your game two stars. If you can help me I will happily change it to 5 stars.,2,2023-08-21 02:39:35,1.8.0
. N8SMITHY,"I've been playing for a few months, and it gets very repetitive. The price of everything goes up, yet the rewards are the same as when you first started to play. It's a money pit, ad after ad to purchase dice and stickers, yet you never get to complete the albums, and trading them is a joke. It gives you stickers you've already traded. Time I deleted it.",1,2023-08-21 02:39:29,1.8.0
Eric Harmon,Too many micro-transaction offers. I just want to play.,3,2023-08-21 02:38:20,1.8.0
Hayley Collyer,Good but I didn't want it at first,5,2023-08-21 02:36:52,1.8.0
Matthew Lynch,Games keep lagging badly bugs still needs fixed but love the game only need one gold and one normal card left,4,2023-08-21 02:36:48,1.8.0
